sample_name,fazenda,date,planta,tratamento,parcela,ramo,no,s1,s2,s3,s4,s5,s6,flor,star,chumb,fruto,rv
ffelipe_p2_t3_parc9_rDir_n1,felipe,2025-09-22,2,t3,9,Dir,1,0,1,1,0,0,0,12,0,0,0,0
ffelipe_p3_t3_parc9_rDir_n1,felipe,2025-09-22,3,t3,9,Dir,1,0,1,0,4,0,0,1,0,0,0,0
ffelipe_p1_t3_parc9_rDir_n2,felipe,2025-09-22,1,t3,9,Dir,2,0,0,0,0,0,0,22,0,0,0,0
ffelipe_p2_t3_parc9_rDir_n2,felipe,2025-09-22,2,t3,9,Dir,2,0,0,0,1,0,3,8,0,0,0,0
ffelipe_p3_t3_parc9_rDir_n2,felipe,2025-09-22,3,t3,9,Dir,2,0,0,1,2,0,1,4,0,0,0,0
ffelipe_p1_t3_parc9_rDir_n3,felipe,2025-09-22,1,t3,9,Dir,3,0,0,0,0,0,0,23,0,0,0,0
ffelipe_p2_t3_parc9_rDir_n3,felipe,2025-09-22,2,t3,9,Dir,3,0,0,0,0,0,0,25,0,0,0,0
ffelipe_p3_t3_parc9_rDir_n3,felipe,2025-09-22,3,t3,9,Dir,3,0,0,0,0,0,0,24,0,0,0,0
ffelipe_p1_t3_parc9_rEsq_n1,felipe,2025-09-22,1,t3,9,Esq,1,1,2,1,4,0,0,0,0,0,0,0
ffelipe_p2_t3_parc9_rEsq_n1,felipe,2025-09-22,2,t3,9,Esq,1,0,0,0,0,0,3,12,0,0,0,0
ffelipe_p3_t3_parc9_rEsq_n1,felipe,2025-09-22,3,t3,9,Esq,1,1,0,0,0,0,5,0,0,0,0,0
ffelipe_p1_t3_parc9_rEsq_n2,felipe,2025-09-22,1,t3,9,Esq,2,0,1,0,0,0,0,24,0,0,0,0
ffelipe_p2_t3_parc9_rEsq_n2,felipe,2025-09-22,2,t3,9,Esq,2,0,0,0,0,1,4,0,0,0,0,0
ffelipe_p3_t3_parc9_rEsq_n2,felipe,2025-09-22,3,t3,9,Esq,2,0,0,0,0,0,3,20,0,0,0,0
ffelipe_p1_t3_parc9_rEsq_n3,felipe,2025-09-22,1,t3,9,Esq,3,0,0,0,0,0,2,20,0,0,0,0
ffelipe_p2_t3_parc9_rEsq_n3,felipe,2025-09-22,2,t3,9,Esq,3,0,0,0,0,0,2,24,0,0,0,0
ffelipe_p3_t3_parc9_rEsq_n3,felipe,2025-09-22,3,t3,9,Esq,3,0,0,0,0,0,0,26,0,0,0,0
ffelipe_p1_t4_parc10_rDir_n1,felipe,2025-09-22,1,t4,10,Dir,1,0,0,4,0,0,0,2,0,0,0,0
ffelipe_p2_t4_parc10_rDir_n1,felipe,2025-09-22,2,t4,10,Dir,1,0,0,8,0,0,0,0,0,0,0,0
ffelipe_p3_t4_parc10_rDir_n1,felipe,2025-09-22,3,t4,10,Dir,1,0,0,5,0,0,1,0,0,0,0,0
ffelipe_p1_t4_parc10_rDir_n2,felipe,2025-09-22,1,t4,10,Dir,2,0,0,0,0,0,5,0,0,0,0,0
ffelipe_p2_t4_parc10_rDir_n2,felipe,2025-09-22,2,t4,10,Dir,2,0,0,0,0,1,5,0,0,0,0,0
ffelipe_p3_t4_parc10_rDir_n2,felipe,2025-09-22,3,t4,10,Dir,2,0,0,0,0,0,0,22,0,0,0,0
ffelipe_p1_t4_parc10_rDir_n3,felipe,2025-09-22,1,t4,10,Dir,3,0,0,0,0,0,3,8,0,0,0,0
ffelipe_p2_t4_parc10_rDir_n3,felipe,2025-09-22,2,t4,10,Dir,3,0,1,0,0,0,0,23,0,0,0,0
ffelipe_p3_t4_parc10_rDir_n3,felipe,2025-09-22,3,t4,10,Dir,3,0,1,1,0,0,0,14,0,0,0,0
ffelipe_p1_t4_parc10_rEsq_n1,felipe,2025-09-22,1,t4,10,Esq,1,0,0,0,1,3,2,0,0,0,0,0
ffelipe_p2_t4_parc10_rEsq_n1,felipe,2025-09-22,2,t4,10,Esq,1,0,3,1,3,0,0,0,0,0,0,0
ffelipe_p3_t4_parc10_rEsq_n1,felipe,2025-09-22,3,t4,10,Esq,1,0,2,0,1,2,1,0,0,0,0,0
ffelipe_p1_t4_parc10_rEsq_n2,felipe,2025-09-22,1,t4,10,Esq,2,0,0,1,0,0,0,24,0,0,0,0
ffelipe_p2_t4_parc10_rEsq_n2,felipe,2025-09-22,2,t4,10,Esq,2,0,0,0,0,0,0,19,0,0,0,0
ffelipe_p3_t4_parc10_rEsq_n2,felipe,2025-09-22,3,t4,10,Esq,2,0,0,0,0,3,2,5,0,0,0,0
ffelipe_p1_t4_parc10_rEsq_n3,felipe,2025-09-22,1,t4,10,Esq,3,0,0,0,0,0,0,24,0,0,0,0
ffelipe_p2_t4_parc10_rEsq_n3,felipe,2025-09-22,2,t4,10,Esq,3,0,0,0,0,0,7,0,0,0,0,0
ffelipe_p3_t4_parc10_rEsq_n3,felipe,2025-09-22,3,t4,10,Esq,3,0,0,0,0,0,3,20,0,0,0,0
ffelipe_p1_t5_parc11_rDir_n1,felipe,2025-09-22,1,t5,11,Dir,1,0,3,3,1,0,0,0,0,0,0,0
ffelipe_p2_t5_parc11_rDir_n1,felipe,2025-09-22,2,t5,11,Dir,1,0,0,3,2,0,0,1,0,0,0,0
ffelipe_p3_t5_parc11_rDir_n1,felipe,2025-09-22,3,t5,11,Dir,1,0,0,0,0,0,6,0,0,0,0,0
