sample_name,fazenda,date,planta,tratamento,bloco,ramo,no,s1_flor_gemas,s1_flor_star,s1_flor_chumb,fruto_verde,fruto_parcial,fruto_vermelho,fruto_passa,fruto_secos,rv
ffelipe_p3_t2_parc8_rDir_n2,felipe,2026-01-20,3,t2,8,Dir,2,0,0,0,17,0,0,0,0,0
ffelipe_p1_t2_parc8_rDir_n3,felipe,2026-01-20,1,t2,8,Dir,3,0,0,0,16,0,0,0,0,0
ffelipe_p2_t2_parc8_rDir_n3,felipe,2026-01-20,2,t2,8,Dir,3,0,0,0,14,0,0,0,0,0
ffelipe_p3_t2_parc8_rDir_n3,felipe,2026-01-20,3,t2,8,Dir,3,0,0,0,13,0,0,0,0,0
ffelipe_p1_t2_parc8_rEsq_n1,felipe,2026-01-20,1,t2,8,Esq,1,0,0,0,16,0,0,0,0,0
ffelipe_p2_t2_parc8_rEsq_n1,felipe,2026-01-20,2,t2,8,Esq,1,0,0,0,10,0,0,0,0,0
ffelipe_p3_t2_parc8_rEsq_n1,felipe,2026-01-20,3,t2,8,Esq,1,0,0,0,2,0,0,0,0,0
ffelipe_p1_t2_parc8_rEsq_n2,felipe,2026-01-20,1,t2,8,Esq,2,0,0,0,9,0,0,0,0,0
ffelipe_p2_t2_parc8_rEsq_n2,felipe,2026-01-20,2,t2,8,Esq,2,0,0,0,5,0,0,0,0,0
ffelipe_p3_t2_parc8_rEsq_n2,felipe,2026-01-20,3,t2,8,Esq,2,0,0,0,11,0,0,0,1,0
ffelipe_p1_t2_parc8_rEsq_n3,felipe,2026-01-20,1,t2,8,Esq,3,0,0,0,18,0,0,0,0,0
ffelipe_p2_t2_parc8_rEsq_n3,felipe,2026-01-20,2,t2,8,Esq,3,0,0,0,11,0,0,0,0,0
ffelipe_p3_t2_parc8_rEsq_n3,felipe,2026-01-20,3,t2,8,Esq,3,0,0,0,7,0,0,0,0,0
ffelipe_p1_t3_parc9_rDir_n1,felipe,2026-01-20,1,t3,9,Dir,1,0,0,0,5,0,0,0,0,0
ffelipe_p2_t3_parc9_rDir_n1,felipe,2026-01-20,2,t3,9,Dir,1,0,0,0,9,0,0,0,0,0
ffelipe_p3_t3_parc9_rDir_n1,felipe,2026-01-20,3,t3,9,Dir,1,0,0,0,11,0,0,0,0,0
ffelipe_p1_t3_parc9_rDir_n2,felipe,2026-01-20,1,t3,9,Dir,2,0,0,0,7,0,0,0,3,0
ffelipe_p2_t3_parc9_rDir_n2,felipe,2026-01-20,2,t3,9,Dir,2,0,0,0,7,0,0,0,1,0
ffelipe_p3_t3_parc9_rDir_n2,felipe,2026-01-20,3,t3,9,Dir,2,0,0,0,6,0,0,0,0,0
ffelipe_p1_t3_parc9_rDir_n3,felipe,2026-01-20,1,t3,9,Dir,3,0,0,0,5,0,0,0,0,0
ffelipe_p2_t3_parc9_rDir_n3,felipe,2026-01-20,2,t3,9,Dir,3,0,0,0,13,0,0,0,0,0
ffelipe_p3_t3_parc9_rDir_n3,felipe,2026-01-20,3,t3,9,Dir,3,0,0,0,11,0,0,0,0,0
ffelipe_p1_t3_parc9_rEsq_n1,felipe,2026-01-20,1,t3,9,Esq,1,0,0,0,16,0,0,0,0,0
ffelipe_p2_t3_parc9_rEsq_n1,felipe,2026-01-20,2,t3,9,Esq,1,0,0,0,6,0,0,0,1,0
ffelipe_p3_t3_parc9_rEsq_n1,felipe,2026-01-20,3,t3,9,Esq,1,0,0,0,2,0,0,0,0,0
ffelipe_p1_t3_parc9_rEsq_n2,felipe,2026-01-20,1,t3,9,Esq,2,0,0,0,7,0,0,0,0,0
ffelipe_p2_t3_parc9_rEsq_n2,felipe,2026-01-20,2,t3,9,Esq,2,0,0,0,10,0,0,0,0,0
ffelipe_p3_t3_parc9_rEsq_n2,felipe,2026-01-20,3,t3,9,Esq,2,0,0,0,10,0,0,0,1,0
ffelipe_p1_t3_parc9_rEsq_n3,felipe,2026-01-20,1,t3,9,Esq,3,0,0,0,12,0,0,0,0,0
ffelipe_p2_t3_parc9_rEsq_n3,felipe,2026-01-20,2,t3,9,Esq,3,0,0,0,6,0,0,0,0,0
ffelipe_p3_t3_parc9_rEsq_n3,felipe,2026-01-20,3,t3,9,Esq,3,0,0,0,11,0,0,0,0,0
ffelipe_p1_t4_parc10_rDir_n1,felipe,2026-01-20,1,t4,10,Dir,1,0,0,0,5,0,0,0,0,0
ffelipe_p2_t4_parc10_rDir_n1,felipe,2026-01-20,2,t4,10,Dir,1,0,0,0,17,0,0,0,0,0
ffelipe_p3_t4_parc10_rDir_n1,felipe,2026-01-20,3,t4,10,Dir,1,0,0,0,13,0,0,0,0,0
ffelipe_p1_t4_parc10_rDir_n2,felipe,2026-01-20,1,t4,10,Dir,2,0,0,0,4,0,0,0,4,0
ffelipe_p2_t4_parc10_rDir_n2,felipe,2026-01-20,2,t4,10,Dir,2,0,0,0,19,0,0,0,0,0
ffelipe_p3_t4_parc10_rDir_n2,felipe,2026-01-20,3,t4,10,Dir,2,0,0,0,6,0,0,0,0,0
ffelipe_p1_t4_parc10_rDir_n3,felipe,2026-01-20,1,t4,10,Dir,3,0,0,0,5,0,0,0,0,0
ffelipe_p2_t4_parc10_rDir_n3,felipe,2026-01-20,2,t4,10,Dir,3,0,0,0,18,0,0,0,0,0
ffelipe_p3_t4_parc10_rDir_n3,felipe,2026-01-20,3,t4,10,Dir,3,0,0,0,2,0,0,0,0,0
ffelipe_p1_t4_parc10_rEsq_n1,felipe,2026-01-20,1,t4,10,Esq,1,0,0,0,5,0,0,0,0,0
ffelipe_p2_t4_parc10_rEsq_n1,felipe,2026-01-20,2,t4,10,Esq,1,0,0,0,18,0,0,0,0,0
ffelipe_p3_t4_parc10_rEsq_n1,felipe,2026-01-20,3,t4,10,Esq,1,0,0,0,12,0,0,0,0,0
ffelipe_p1_t4_parc10_rEsq_n2,felipe,2026-01-20,1,t4,10,Esq,2,0,0,0,6,0,0,0,0,0
ffelipe_p2_t4_parc10_rEsq_n2,felipe,2026-01-20,2,t4,10,Esq,2,0,0,0,12,0,0,0,0,0
ffelipe_p3_t4_parc10_rEsq_n2,felipe,2026-01-20,3,t4,10,Esq,2,0,0,0,13,0,0,0,0,0
ffelipe_p1_t4_parc10_rEsq_n3,felipe,2026-01-20,1,t4,10,Esq,3,0,0,0,11,0,0,0,0,0
