sample_name,fazenda,date,planta,tratamento,bloco,ramo,no,s1_flor_gemas,s1_flor_star,s1_flor_chumb,fruto_verde,fruto_parcial,fruto_vermelho,fruto_passa,fruto_secos,rv
fvicente_p1_t6_parc6_rDir_n1,vicente,2026-01-13,1,t6,6,Dir,1,0,0,35,0,0,0,0,0,0
fvicente_p2_t6_parc6_rDir_n1,vicente,2026-01-13,2,t6,6,Dir,1,0,0,0,23,0,0,0,0,0
fvicente_p3_t6_parc6_rDir_n1,vicente,2026-01-13,3,t6,6,Dir,1,0,0,0,30,0,0,0,0,0
fvicente_p1_t6_parc6_rDir_n2,vicente,2026-01-13,1,t6,6,Dir,2,0,0,0,15,0,0,0,0,0
fvicente_p2_t6_parc6_rDir_n2,vicente,2026-01-13,2,t6,6,Dir,2,0,0,1,15,0,0,0,0,0
fvicente_p3_t6_parc6_rDir_n2,vicente,2026-01-13,3,t6,6,Dir,2,0,0,0,17,0,0,0,0,0
fvicente_p1_t6_parc6_rDir_n3,vicente,2026-01-13,1,t6,6,Dir,3,0,0,0,18,0,0,0,0,0
fvicente_p2_t6_parc6_rDir_n3,vicente,2026-01-13,2,t6,6,Dir,3,0,0,6,13,0,0,0,0,0
fvicente_p3_t6_parc6_rDir_n3,vicente,2026-01-13,3,t6,6,Dir,3,0,0,0,22,0,0,0,0,0
fvicente_p1_t6_parc6_rEsq_n1,vicente,2026-01-13,1,t6,6,Esq,1,0,0,17,0,0,0,0,0,0
fvicente_p2_t6_parc6_rEsq_n1,vicente,2026-01-13,2,t6,6,Esq,1,0,0,0,22,0,0,0,0,0
fvicente_p3_t6_parc6_rEsq_n1,vicente,2026-01-13,3,t6,6,Esq,1,0,0,31,0,0,0,0,0,0
fvicente_p1_t6_parc6_rEsq_n2,vicente,2026-01-13,1,t6,6,Esq,2,0,0,7,5,0,0,0,0,0
fvicente_p2_t6_parc6_rEsq_n2,vicente,2026-01-13,2,t6,6,Esq,2,0,0,6,0,0,0,0,0,0
fvicente_p3_t6_parc6_rEsq_n2,vicente,2026-01-13,3,t6,6,Esq,2,0,0,9,10,0,0,0,0,0
fvicente_p1_t6_parc6_rEsq_n3,vicente,2026-01-13,1,t6,6,Esq,3,0,0,6,11,0,0,0,0,0
fvicente_p2_t6_parc6_rEsq_n3,vicente,2026-01-13,2,t6,6,Esq,3,0,0,9,7,0,0,0,0,0
fvicente_p3_t6_parc6_rEsq_n3,vicente,2026-01-13,3,t6,6,Esq,3,0,0,16,0,0,0,0,0,0
fvicente_p1_t1_parc7_rDir_n1,vicente,2026-01-13,1,t1,7,Dir,1,0,0,0,32,0,0,0,0,0
fvicente_p2_t1_parc7_rDir_n1,vicente,2026-01-13,2,t1,7,Dir,1,0,0,0,20,0,0,0,0,0
fvicente_p3_t1_parc7_rDir_n1,vicente,2026-01-13,3,t1,7,Dir,1,0,0,0,26,0,0,0,0,0
fvicente_p1_t1_parc7_rDir_n2,vicente,2026-01-13,1,t1,7,Dir,2,0,0,0,32,0,0,0,0,0
fvicente_p2_t1_parc7_rDir_n2,vicente,2026-01-13,2,t1,7,Dir,2,0,0,0,21,0,0,0,0,0
fvicente_p3_t1_parc7_rDir_n2,vicente,2026-01-13,3,t1,7,Dir,2,0,0,0,26,0,0,0,0,0
fvicente_p1_t1_parc7_rDir_n3,vicente,2026-01-13,1,t1,7,Dir,3,0,0,0,25,0,0,0,0,0
fvicente_p2_t1_parc7_rDir_n3,vicente,2026-01-13,2,t1,7,Dir,3,0,0,0,26,0,0,0,0,0
fvicente_p3_t1_parc7_rDir_n3,vicente,2026-01-13,3,t1,7,Dir,3,0,0,0,29,0,0,0,1,0
fvicente_p1_t1_parc7_rEsq_n1,vicente,2026-01-13,1,t1,7,Esq,1,0,0,35,0,0,0,0,0,0
fvicente_p2_t1_parc7_rEsq_n1,vicente,2026-01-13,2,t1,7,Esq,1,0,0,43,0,0,0,0,0,0
fvicente_p3_t1_parc7_rEsq_n1,vicente,2026-01-13,3,t1,7,Esq,1,0,0,0,20,0,0,0,2,0
fvicente_p1_t1_parc7_rEsq_n2,vicente,2026-01-13,1,t1,7,Esq,2,0,0,10,9,0,0,0,0,0
fvicente_p2_t1_parc7_rEsq_n2,vicente,2026-01-13,2,t1,7,Esq,2,0,0,38,0,0,0,0,0,0
fvicente_p3_t1_parc7_rEsq_n2,vicente,2026-01-13,3,t1,7,Esq,2,0,0,0,22,0,0,0,0,0
fvicente_p1_t1_parc7_rEsq_n3,vicente,2026-01-13,1,t1,7,Esq,3,0,0,27,2,0,0,0,0,0
fvicente_p2_t1_parc7_rEsq_n3,vicente,2026-01-13,2,t1,7,Esq,3,0,0,37,0,0,0,0,0,0
fvicente_p3_t1_parc7_rEsq_n3,vicente,2026-01-13,3,t1,7,Esq,3,0,0,0,30,0,0,0,0,0
fvicente_p1_t2_parc8_rDir_n1,vicente,2026-01-13,1,t2,8,Dir,1,0,0,30,2,0,0,0,0,0
fvicente_p2_t2_parc8_rDir_n1,vicente,2026-01-13,2,t2,8,Dir,1,0,0,6,18,0,0,0,0,0
fvicente_p3_t2_parc8_rDir_n1,vicente,2026-01-13,3,t2,8,Dir,1,0,0,4,32,0,0,0,0,0
fvicente_p1_t2_parc8_rDir_n2,vicente,2026-01-13,1,t2,8,Dir,2,0,0,4,15,0,0,0,0,0
fvicente_p2_t2_parc8_rDir_n2,vicente,2026-01-13,2,t2,8,Dir,2,0,0,0,13,0,0,0,0,0
fvicente_p3_t2_parc8_rDir_n2,vicente,2026-01-13,3,t2,8,Dir,2,0,0,0,8,0,0,0,0,0
fvicente_p1_t2_parc8_rDir_n3,vicente,2026-01-13,1,t2,8,Dir,3,0,0,0,26,0,0,0,0,0
fvicente_p2_t2_parc8_rDir_n3,vicente,2026-01-13,2,t2,8,Dir,3,0,0,0,21,0,0,0,0,0
fvicente_p3_t2_parc8_rDir_n3,vicente,2026-01-13,3,t2,8,Dir,3,0,0,1,13,0,0,0,0,0
fvicente_p1_t2_parc8_rEsq_n1,vicente,2026-01-13,1,t2,8,Esq,1,0,0,0,15,0,0,0,0,0
fvicente_p2_t2_parc8_rEsq_n1,vicente,2026-01-13,2,t2,8,Esq,1,0,0,11,0,0,0,0,0,0
fvicente_p3_t2_parc8_rEsq_n1,vicente,2026-01-13,3,t2,8,Esq,1,0,0,12,10,0,0,0,0,0
fvicente_p1_t2_parc8_rEsq_n2,vicente,2026-01-13,1,t2,8,Esq,2,0,0,4,0,0,0,0,0,0
fvicente_p2_t2_parc8_rEsq_n2,vicente,2026-01-13,2,t2,8,Esq,2,0,0,2,4,0,0,0,0,0
fvicente_p3_t2_parc8_rEsq_n2,vicente,2026-01-13,3,t2,8,Esq,2,0,0,0,12,0,0,0,0,0
fvicente_p1_t2_parc8_rEsq_n3,vicente,2026-01-13,1,t2,8,Esq,3,0,0,8,1,0,0,0,0,0
fvicente_p2_t2_parc8_rEsq_n3,vicente,2026-01-13,2,t2,8,Esq,3,0,0,0,14,0,0,0,0,0
fvicente_p3_t2_parc8_rEsq_n3,vicente,2026-01-13,3,t2,8,Esq,3,0,0,1,16,0,0,0,0,0
fvicente_p1_t3_parc9_rDir_n1,vicente,2026-01-13,1,t3,9,Dir,1,0,0,0,24,0,0,0,0,0
fvicente_p2_t3_parc9_rDir_n1,vicente,2026-01-13,2,t3,9,Dir,1,0,0,5,13,0,0,0,0,0
fvicente_p3_t3_parc9_rDir_n1,vicente,2026-01-13,3,t3,9,Dir,1,0,0,0,23,0,0,0,0,0
fvicente_p1_t3_parc9_rDir_n2,vicente,2026-01-13,1,t3,9,Dir,2,0,0,11,9,0,0,0,0,0
fvicente_p2_t3_parc9_rDir_n2,vicente,2026-01-13,2,t3,9,Dir,2,0,0,0,8,0,0,0,0,0
fvicente_p3_t3_parc9_rDir_n2,vicente,2026-01-13,3,t3,9,Dir,2,0,0,2,12,0,0,0,0,0
fvicente_p1_t3_parc9_rDir_n3,vicente,2026-01-13,1,t3,9,Dir,3,0,0,0,19,0,0,0,0,0
fvicente_p2_t3_parc9_rDir_n3,vicente,2026-01-13,2,t3,9,Dir,3,0,0,8,8,0,0,0,0,0
fvicente_p3_t3_parc9_rDir_n3,vicente,2026-01-13,3,t3,9,Dir,3,0,0,0,19,0,0,0,0,0
fvicente_p1_t3_parc9_rEsq_n1,vicente,2026-01-13,1,t3,9,Esq,1,0,0,11,20,0,0,0,0,0
fvicente_p2_t3_parc9_rEsq_n1,vicente,2026-01-13,2,t3,9,Esq,1,0,0,12,0,0,0,0,0,0
fvicente_p3_t3_parc9_rEsq_n1,vicente,2026-01-13,3,t3,9,Esq,1,0,0,24,0,0,0,0,0,0
fvicente_p1_t3_parc9_rEsq_n2,vicente,2026-01-13,1,t3,9,Esq,2,0,0,23,0,0,0,0,0,0
fvicente_p2_t3_parc9_rEsq_n2,vicente,2026-01-13,2,t3,9,Esq,2,0,0,0,21,0,0,0,0,0
fvicente_p3_t3_parc9_rEsq_n2,vicente,2026-01-13,3,t3,9,Esq,2,0,0,11,1,0,0,0,0,0
fvicente_p1_t3_parc9_rEsq_n3,vicente,2026-01-13,1,t3,9,Esq,3,0,0,1,16,0,0,0,0,0
fvicente_p2_t3_parc9_rEsq_n3,vicente,2026-01-13,2,t3,9,Esq,3,0,0,5,0,0,0,0,0,0
fvicente_p3_t3_parc9_rEsq_n3,vicente,2026-01-13,3,t3,9,Esq,3,0,0,0,26,0,0,0,0,0
fvicente_p1_t4_parc10_rDir_n1,vicente,2026-01-13,1,t4,10,Dir,1,0,0,25,0,0,0,0,0,0
fvicente_p2_t4_parc10_rDir_n1,vicente,2026-01-13,2,t4,10,Dir,1,0,0,35,0,0,0,0,0,0
fvicente_p3_t4_parc10_rDir_n1,vicente,2026-01-13,3,t4,10,Dir,1,0,0,19,7,0,0,0,0,0
fvicente_p1_t4_parc10_rDir_n2,vicente,2026-01-13,1,t4,10,Dir,2,0,0,22,5,0,0,0,0,0
fvicente_p2_t4_parc10_rDir_n2,vicente,2026-01-13,2,t4,10,Dir,2,0,0,0,19,0,0,0,0,0
fvicente_p3_t4_parc10_rDir_n2,vicente,2026-01-13,3,t4,10,Dir,2,0,0,10,14,0,0,0,0,0
