sample_name,fazenda,date,planta,tratamento,parcela,ramo,no,s1,s2,s3,s4,s5,s6,flor,star,chumb,fruto,rv
fvicente_p1_t5_parc5_rDir_n1,vicente,2025-11-14,1,t5,5,Dir,1,0,0,0,0,0,0,0,0,56,0,0
fvicente_p2_t5_parc5_rDir_n1,vicente,2025-11-14,2,t5,5,Dir,1,0,0,0,0,0,0,0,0,49,0,0
fvicente_p3_t5_parc5_rDir_n1,vicente,2025-11-14,3,t5,5,Dir,1,0,0,0,0,0,0,0,0,18,4,0
fvicente_p1_t5_parc5_rDir_n2,vicente,2025-11-14,1,t5,5,Dir,2,0,0,0,0,0,0,0,0,25,1,0
fvicente_p2_t5_parc5_rDir_n2,vicente,2025-11-14,2,t5,5,Dir,2,0,0,0,0,0,0,0,0,40,0,0
fvicente_p3_t5_parc5_rDir_n2,vicente,2025-11-14,3,t5,5,Dir,2,0,0,0,0,0,0,0,0,49,2,0
fvicente_p1_t5_parc5_rDir_n3,vicente,2025-11-14,1,t5,5,Dir,3,0,0,0,0,0,0,0,0,35,0,0
fvicente_p2_t5_parc5_rDir_n3,vicente,2025-11-14,2,t5,5,Dir,3,0,0,0,0,0,0,0,0,20,0,0
fvicente_p3_t5_parc5_rDir_n3,vicente,2025-11-14,3,t5,5,Dir,3,0,0,0,0,0,0,0,0,30,0,0
fvicente_p1_t5_parc5_rEsq_n1,vicente,2025-11-14,1,t5,5,Esq,1,0,0,0,0,0,0,0,0,36,0,0
fvicente_p2_t5_parc5_rEsq_n1,vicente,2025-11-14,2,t5,5,Esq,1,0,0,0,0,0,0,0,0,12,0,0
fvicente_p3_t5_parc5_rEsq_n1,vicente,2025-11-14,3,t5,5,Esq,1,0,0,0,0,0,0,0,0,30,0,0
fvicente_p1_t5_parc5_rEsq_n2,vicente,2025-11-14,1,t5,5,Esq,2,0,0,0,0,0,0,0,0,40,0,0
fvicente_p2_t5_parc5_rEsq_n2,vicente,2025-11-14,2,t5,5,Esq,2,0,0,0,0,0,0,0,0,29,0,0
fvicente_p3_t5_parc5_rEsq_n2,vicente,2025-11-14,3,t5,5,Esq,2,0,0,0,0,0,0,0,0,42,0,0
fvicente_p1_t5_parc5_rEsq_n3,vicente,2025-11-14,1,t5,5,Esq,3,0,0,0,0,0,0,0,0,21,0,0
fvicente_p2_t5_parc5_rEsq_n3,vicente,2025-11-14,2,t5,5,Esq,3,0,0,0,0,0,0,0,0,32,0,0
fvicente_p3_t5_parc5_rEsq_n3,vicente,2025-11-14,3,t5,5,Esq,3,0,0,0,0,0,0,0,0,35,0,0
fvicente_p1_t6_parc6_rDir_n1,vicente,2025-11-14,1,t6,6,Dir,1,0,0,0,0,0,0,0,0,35,0,0
fvicente_p2_t6_parc6_rDir_n1,vicente,2025-11-14,2,t6,6,Dir,1,0,0,0,0,0,0,0,0,56,2,0
fvicente_p3_t6_parc6_rDir_n1,vicente,2025-11-14,3,t6,6,Dir,1,0,0,0,0,0,0,0,0,63,0,0
fvicente_p1_t6_parc6_rDir_n2,vicente,2025-11-14,1,t6,6,Dir,2,0,0,0,0,0,0,0,0,49,0,0
fvicente_p2_t6_parc6_rDir_n2,vicente,2025-11-14,2,t6,6,Dir,2,0,0,0,0,0,0,0,0,10,7,0
fvicente_p3_t6_parc6_rDir_n2,vicente,2025-11-14,3,t6,6,Dir,2,0,0,0,0,0,0,0,0,56,0,0
fvicente_p1_t6_parc6_rDir_n3,vicente,2025-11-14,1,t6,6,Dir,3,0,0,0,0,0,0,0,0,40,0,0
fvicente_p2_t6_parc6_rDir_n3,vicente,2025-11-14,2,t6,6,Dir,3,0,0,0,0,0,0,0,0,36,0,0
fvicente_p3_t6_parc6_rDir_n3,vicente,2025-11-14,3,t6,6,Dir,3,0,0,0,0,0,0,0,0,63,0,0
fvicente_p1_t6_parc6_rEsq_n1,vicente,2025-11-14,1,t6,6,Esq,1,0,0,0,0,0,0,0,0,50,0,0
fvicente_p2_t6_parc6_rEsq_n1,vicente,2025-11-14,2,t6,6,Esq,1,0,0,0,0,0,0,0,0,40,0,0
fvicente_p3_t6_parc6_rEsq_n1,vicente,2025-11-14,3,t6,6,Esq,1,0,0,0,0,0,0,0,0,50,0,0
fvicente_p1_t6_parc6_rEsq_n2,vicente,2025-11-14,1,t6,6,Esq,2,0,0,0,0,0,0,0,0,30,0,0
fvicente_p2_t6_parc6_rEsq_n2,vicente,2025-11-14,2,t6,6,Esq,2,0,0,0,0,0,0,0,0,25,0,0
fvicente_p3_t6_parc6_rEsq_n2,vicente,2025-11-14,3,t6,6,Esq,2,0,0,0,0,0,0,0,0,40,0,0
fvicente_p1_t6_parc6_rEsq_n3,vicente,2025-11-14,1,t6,6,Esq,3,0,0,0,0,0,0,0,0,36,0,0
fvicente_p2_t6_parc6_rEsq_n3,vicente,2025-11-14,2,t6,6,Esq,3,0,0,0,0,0,0,0,0,42,0,0
fvicente_p3_t6_parc6_rEsq_n3,vicente,2025-11-14,3,t6,6,Esq,3,0,0,0,0,0,0,4,0,25,0,0
fvicente_p1_t1_parc7_rDir_n1,vicente,2025-11-14,1,t1,7,Dir,1,0,0,0,0,0,0,0,0,56,0,0
fvicente_p2_t1_parc7_rDir_n1,vicente,2025-11-14,2,t1,7,Dir,1,0,0,0,0,0,0,0,0,42,0,0
fvicente_p3_t1_parc7_rDir_n1,vicente,2025-11-14,3,t1,7,Dir,1,0,0,0,0,0,0,0,0,30,0,0
fvicente_p1_t1_parc7_rDir_n2,vicente,2025-11-14,1,t1,7,Dir,2,0,0,0,0,0,0,0,0,63,0,0
fvicente_p2_t1_parc7_rDir_n2,vicente,2025-11-14,2,t1,7,Dir,2,0,0,0,0,0,0,0,0,35,0,0
fvicente_p3_t1_parc7_rDir_n2,vicente,2025-11-14,3,t1,7,Dir,2,0,0,0,0,0,0,0,0,10,20,0
fvicente_p1_t1_parc7_rDir_n3,vicente,2025-11-14,1,t1,7,Dir,3,0,0,0,0,0,0,0,0,63,0,0
fvicente_p2_t1_parc7_rDir_n3,vicente,2025-11-14,2,t1,7,Dir,3,0,0,0,0,0,0,0,0,49,0,0
fvicente_p3_t1_parc7_rDir_n3,vicente,2025-11-14,3,t1,7,Dir,3,0,0,0,0,0,0,0,0,5,20,0
fvicente_p1_t1_parc7_rEsq_n1,vicente,2025-11-14,1,t1,7,Esq,1,0,0,0,0,0,0,0,0,63,0,0
fvicente_p2_t1_parc7_rEsq_n1,vicente,2025-11-14,2,t1,7,Esq,1,0,0,0,0,0,0,11,0,25,0,0
fvicente_p3_t1_parc7_rEsq_n1,vicente,2025-11-14,3,t1,7,Esq,1,0,0,0,0,0,0,0,0,32,0,0
fvicente_p1_t1_parc7_rEsq_n2,vicente,2025-11-14,1,t1,7,Esq,2,0,0,0,0,0,0,0,0,44,0,0
fvicente_p2_t1_parc7_rEsq_n2,vicente,2025-11-14,2,t1,7,Esq,2,0,0,0,0,0,0,0,0,54,0,0
fvicente_p3_t1_parc7_rEsq_n2,vicente,2025-11-14,3,t1,7,Esq,2,0,0,0,0,0,0,0,0,28,0,0
fvicente_p1_t1_parc7_rEsq_n3,vicente,2025-11-14,1,t1,7,Esq,3,0,0,0,0,0,0,0,0,60,0,0
fvicente_p2_t1_parc7_rEsq_n3,vicente,2025-11-14,2,t1,7,Esq,3,0,0,0,0,0,0,0,0,40,0,0
fvicente_p3_t1_parc7_rEsq_n3,vicente,2025-11-14,3,t1,7,Esq,3,0,0,0,0,0,0,0,0,20,0,0
fvicente_p1_t2_parc8_rDir_n1,vicente,2025-11-14,1,t2,8,Dir,1,0,0,0,0,0,0,0,0,63,0,0
fvicente_p2_t2_parc8_rDir_n1,vicente,2025-11-14,2,t2,8,Dir,1,0,0,0,0,1,1,0,0,35,0,0
fvicente_p3_t2_parc8_rDir_n1,vicente,2025-11-14,3,t2,8,Dir,1,0,0,0,0,0,0,0,0,49,0,0
fvicente_p1_t2_parc8_rDir_n2,vicente,2025-11-14,1,t2,8,Dir,2,0,0,0,0,0,0,0,0,63,0,0
fvicente_p2_t2_parc8_rDir_n2,vicente,2025-11-14,2,t2,8,Dir,2,0,0,0,0,0,0,0,0,35,0,0
fvicente_p3_t2_parc8_rDir_n2,vicente,2025-11-14,3,t2,8,Dir,2,0,0,0,0,0,0,0,0,36,0,0
fvicente_p1_t2_parc8_rDir_n3,vicente,2025-11-14,1,t2,8,Dir,3,0,0,0,0,0,1,1,0,54,0,0
fvicente_p2_t2_parc8_rDir_n3,vicente,2025-11-14,2,t2,8,Dir,3,0,0,0,0,0,0,0,0,49,0,0
